,artist,album,albumcount,year
187619,Michael Martin Murphey,Lonewolf,6,1978
187729,Michael Murphey,Flowing Free Forever,5,1976
187752,Michael Nesmith,Loose Salute,4,1970
187769,Michael Nesmith,Magnetic South,3,1970
187906,Michael Stanley Band,"You Break It, You Bought It!",3,1975
188362,Mick Taylor,Mick Taylor,5,1979
188391,Mickey Hart,Rolling Thunder,4,1972
189239,Miles Davis,Agharta,5,1975
189253,Miles Davis,Big Fun,5,1974
189327,Miles Davis,Miles at the Fillmore: Miles Davis 1970 - The Bootleg Series Vol. 3,1,1970
189398,Miles Davis,Water Babies,2,1976
189625,Millie Jackson,A Moment's Pleasure,6,1979
189691,Millie Jackson,It Hurts So Good,6,1973
190120,Minnie Riperton,Come To My Garden,4,1970
191729,Mongo Santamaria,Feelin' Alright,3,1970
191762,Mongo Santamaria,Mongo '70,2,1970
192175,Montrose,Jump On It,7,1976
192198,Montrose,Warner Brothers Presents Montrose,7,1975
192771,Mother Earth,Bring Me Home,2,1971
192901,Mothers Of Invention,Weasels Ripped My Flesh,3,1970
193274,Mott,Drive On,5,1975
193734,Muddy Waters,Hard Again,7,1977
193744,Muddy Waters,I'm Ready,6,1978
193983,Munich Machine,A Whiter Shade Of Pale,3,1978
195441,NRBQ,NRBQ,4,1972
195838,Nancy Wilson,Can't Take My Eyes Off You,6,1970
195930,Nancy Wilson,I've Never Been To Me,1,1977
197152,Natural Four,Heaven Right Here On Earth,3,1975
197295,Nazareth,Hot Tracks,6,1976
198355,Neil Sedaka,Solitaire,4,1972
198914,Nektar,A Tab In The Ocean,4,1972
199945,New Riders Of The Purple Sage,"Oh, What A Mighty Time",4,1975
200961,Nigel Olsson,Nigel,5,1978
201283,Nilsson,...That's The Way It Is,6,1976
201305,Nilsson,Aerial Pandemonium Ballet,3,1971
201319,Nilsson,Duit On Mon Dei,7,1975
201433,Nina Hagen,Nunsexmonkrock,3,1978
201448,Nina Simone,Here Comes The Sun,4,1971
202432,No Secrets,No Secrets,3,1972
204083,Odyssey,Hollywood Party Tonight,5,1978
206621,Original Cast,Ain't Misbehavin',5,1978
206781,Original Cast,Company,2,1970
206906,Original Cast,Follies,3,1971
207980,Otis Redding,Tell The Truth,2,1970
208681,Ozark Mountain Daredevils,It's Alive,3,1978
210314,Paris,Big Towne 2061,6,1976
212513,Paul Davis,Paul Davis,4,1977
212523,Paul Davis,Ride 'Em Cowboy,6,1974
213878,Paul Williams,Ordinary Fool,6,1975
215032,Pentangle,Cruel Sister,1,1970
215157,People's Choice,We Got The Rhythm,3,1976
215221,Percy Faith,Black Magic Woman,5,1971
215268,Percy Faith,Held Over! Today's Great Movie Themes,2,1970
215279,Percy Faith,I Think I Love You,2,1971
215297,Percy Faith,"Jesus Christ, Superstar",6,1971
215357,Percy Faith,The Beatles Album,4,1970
215716,Persuasions,We Came To Play,3,1971
216141,Pete Seeger,Together In Concert,4,1975
216435,Peter Allen,I Could Have Been A Sailor,3,1979
216697,Peter Frampton,Wind Of Change,6,1972
217097,Peter Tosh,Legalize It,2,1976
217497,Pharoah Sanders,Thembi,3,1971
217795,Phil Ochs,Phil Ochs Greatest Hits,2,1970
219253,Pink Floyd,Relics,7,1971
220388,Pockets,Take It On Up,6,1978
221220,Porter Wagoner,Porter Wayne And Dolly Rebecca,7,1970
222243,Prince,For You,6,1978
222826,Procol Harum,Something Magic,6,1977
223563,Public Image Ltd.,Second Edition,3,1979
223727,Pure Prairie League,Can't Hold Back,6,1979
226007,REO Speedwagon,R.E.O.,5,1976
226434,Racing Cars,Downtown Tonight,3,1976
227068,Ramatam,Ramatam,7,1972
227314,Ramsey Lewis,Them Changes,7,1970
227699,Randy Newman,Randy Newman/Live,3,1971
228498,Raspberries,Side 3,7,1973
228507,Raspberries,Starting Over,6,1974
228945,Ray Conniff,Concert In Stereo/Live At The Sahara/Tahoe,5,1970
228991,Ray Conniff,Great Contemporary Instrumental Hits,5,1971
229159,Ray Conniff,You Are The Sunshine Of My Life,5,1973
229428,Ray Price,She's Got To Be A Saint,7,1973
229556,Ray Thomas,Hopes Wishes & Dreams,5,1976
230620,Redbone,Beaded Dreams Through Turquoise Eyes,3,1974
231385,Renaissance,Ashes Are Burning,4,1973
231648,Return To Forever,Return To Forever Live,4,1978
231880,Rex Smith,"Forever, Rex Smith",3,1979
231995,Rhinoceros,Better Times Are Coming,6,1970
233383,Rick Wakeman,Rhapsodies,5,1979
234008,Ringo Starr,Bad Boy,6,1978
234111,Ringo Starr,Ringo The 4th,6,1977
235217,Robert Gordon,Fresh Fish Special,7,1978
237261,Rodriguez,Coming From Reality,4,1970
237425,Roger McGuinn,Peace On You,6,1974
237850,Ron Carter,Pastels,1,1976
238043,Ronnie Milsap,A Legend In My Time,7,1975
238125,Ronnie Milsap,Night Things,2,1975
238203,Ronnie Wood,Now Look,6,1975
238274,Rory Gallagher,Blueprint,7,1973
238357,Rory Gallagher,Tattoo,7,1973
238367,Rory Gallagher,Top Priority,4,1979
238390,Rosanne Cash,Hits 1979-1989,7,1979
238681,Roxy Music,For Your Pleasure,2,1973
238709,Roxy Music,Stranded,4,1973
238718,Roxy Music,Viva! Roxy Music,7,1977
238728,Roy Ayers,Change Up The Groove,4,1974
238771,Roy Buchanan,A Street Called Straight,7,1976
238793,Roy Buchanan,In The Beginning,6,1974
239023,Roy Wood,Boulders,6,1973
239818,Rush,Caress Of Steel,6,1975
240368,Ry Cooder,Chicken Skin Music,5,1976
240423,Ry Cooder,Paradise And Lunch,6,1974
240446,Ry Cooder,Show Time,5,1977
240465,Ry Cooder,The Slide Area,7,1970
241372,Sad Cafe,Facades,5,1979
242289,Sammi Smith,Lonesome,2,1971
242676,San Sebastian,The Soft Sea,5,1970
243678,Sarah Dash,Sarah Dash,7,1978
245629,Seals & Crofts,One On One,7,1977
246782,Sergio Mendes,Pais Tropical,6,1971
246791,Sergio Mendes,Primal Roots,5,1972
247771,Shakti With John Mclaughlin,Shakti With John McLaughlin,2,1976
249382,Shirley (& Company),Shame Shame Shame,3,1975
249725,Shuggie Otis,Here Comes Shuggie Otis,2,1970
253333,Sly & The Family Stone,Back On The Right Track,3,1979
253784,Smokey Robinson,Smokin',6,1978
253868,Smokie,Midnight Cafe,6,1976
255369,Sonny & Cher,Mama Was A Rock And Roll Singer Papa Used To Write All Her Songs,6,1973
255466,Sonny Terry & Brownie McGhee,Sonny & Brownie,5,1973
255500,Sons Of Champlin,Loving Is Why,4,1977
255521,Sons Of Champlin,Welcome To The Dance,5,1973
258550,Soundtrack,Foul Play,7,1978
264128,Soundtrack,The Rocky Horror Picture Show: Let's Do The Time Warp Again,1,1975
265667,Sparks,Indiscreet,6,1975
265979,Spinners,2nd Time Around,2,1970
267013,Stan Getz,Captain Marvel,1,1974
267243,Starcastle,Citadel,3,1978
267703,Stealers Wheel,Ferguslie Park,3,1973
267855,Steeleye Span,All Around My Hat,6,1975
267864,Steeleye Span,Storm Force Ten,3,1977
268342,Stephen Stills,Thoroughfare Gap,4,1978
268392,Steppenwolf,Hour Of The Wolf,4,1975
268923,Steve Goodman,Jessie's Jig & Other Favorites,6,1975
268933,Steve Goodman,Words We Can Dance To,4,1976
268995,Steve Hackett,Spectral Mornings,4,1979
269011,Steve Hackett,Voyage Of The Acolyte,4,1975
269078,Steve Howe,The Steve Howe Album,4,1979
269089,Steve Khan,Tightrope,5,1977
271682,Styx,The Serpent Is Rising,2,1974
273213,Sutherland Brothers And Quiver,Reach For The Sky,2,1975
274158,Synergy,Cords,6,1978
274332,T-Connection,Totally Connected,3,1979
275019,Taj Mahal,Happy Just To Be Like I Am,6,1971
275027,Taj Mahal,Mo' Roots,6,1974
275036,Taj Mahal,Music Keeps Me Together,7,1975
275046,Taj Mahal,Oooh So Good 'N Blues,5,1973
275054,Taj Mahal,Recycling The Blues & Other Related Stuff,4,1972
